tconst	directors
tt0000005	nm0005690
tt0000008	nm0005690
tt0000010	nm0525910
tt0000012	nm0525908,nm0525910
tt0000014	nm0525910
tt0000192	nm0924920
tt0000417	nm0617588
tt0000439	nm0692105
tt0000942	nm0000428
tt0001062	nm0000428
tt0001105	nm0300487
tt0001223	nm0205986
tt0001527	nm0823088
tt0002054	nm0000428
tt0002381	nm0000428
tt0002461	nm0130633,nm0443857
tt0002544	nm0803705
tt0002844	nm0275421
tt0003014	nm0803705
tt0003419	nm0263912,nm0753233
tt0003489	nm0143333,nm0734958
tt0003643	nm0000428
tt0003740	nm0665163
tt0003772	nm0456804
tt0004008	nm0565560
tt0004066	nm0159725
tt0004101	nm0000122
tt0004134	nm0916665
tt0004181	nm0000428
tt0004277	nm0635667,nm0784407
tt0004282	nm0784407
tt0004465	nm0309163,nm0533289
tt0004635	nm0002177,nm0001124
tt0004707	nm0784407,nm0071658
tt0004936	nm0000122
tt0004972	nm0000428
tt0005044	nm0000122
tt0005074	nm0000122
tt0005078	nm0001124
tt0005339	nm0288616
tt0005529	nm0159725
tt0005542	nm0000122
tt0005571	nm0000122
tt0005810	nm0000122
tt0005812	nm0000122
tt0005916	nm0061955
tt0005960	nm0909825
tt0006032	nm0000122
tt0006206	nm0275421
tt0006333	nm0665737
tt0006414	nm0000122
tt0006668	nm0000779
tt0006684	nm0000122
tt0006731	nm0291387,nm0291548
tt0006745	nm0291387,nm0291548
tt0006761	nm0803705
tt0006780	nm0842521,nm0366586,nm0807742
tt0006826	nm0408937
tt0006864	nm0000428
tt0006886	nm0275421
tt0007108	nm0256221
tt0007145	nm0000122
tt0007194	nm0000122
tt0007264	nm0000122
tt0007361	nm0205986
tt0007558	nm0806565,nm0916665
tt0007613	nm0000122
tt0007819	nm0000779
tt0007832	nm0000122
tt0007880	nm0000122
tt0008133	nm0000122
tt0008395	nm0698839,nm0901502
tt0008523	nm0000779,nm0000036
tt0008634	nm0000406
tt0008663	nm0803705
tt0008710	nm0803705
tt0008874	nm0000779
tt0008879	nm0803705
tt0008891	nm0869665
tt0008950	nm0523932
tt0009018	nm0000122
tt0009062	nm0523932
tt0009611	nm0000122
tt0009652	nm0624714
tt0009878	nm0652650
tt0009893	nm0523932
tt0009932	nm0730018
tt0009937	nm0002233
tt0009968	nm0000428
tt0009976	nm0832584
tt0010040	nm0624714
tt0010057	nm0000122
tt0010071	nm0001124
tt0010155	nm0000779
tt0010208	nm0000485
tt0010247	nm0830249
tt0010281	nm0523932
tt0010307	nm0304098
tt0010323	nm0927468
tt0010418	nm0001124
tt0010726	nm0000485
tt0010747	nm0000122
tt0010806	nm0000428
tt0010821	nm0652650
tt0011000	nm0003433
tt0011071	nm0166836,nm0000036
tt0011130	nm0731910
tt0011237	nm0917467,nm0091380
tt0011293	nm0730018
tt0011358	nm0000406
tt0011370	nm0803705
tt0011387	nm0113284,nm0869665
tt0011439	nm0629243
tt0011508	nm0166836,nm0000036
tt0011541	nm0166836,nm0000036
tt0011565	nm0941637
tt0011652	nm0085133,nm0810367
tt0011656	nm0166836,nm0000036
tt0011723	nm0000485
tt0011833	nm0552609
tt0011841	nm0000428
tt0011870	nm0584778
tt0011904	nm0941637
tt0011908	nm0384616,nm0796657
tt0011909	nm0001124
tt0011960	nm0523932
tt0011979	nm0916665
tt0011984	nm0166836,nm0000036
tt0012190	nm0002271
tt0012224	nm0000036,nm0820461
tt0012255	nm0166836,nm0000036
tt0012278	nm0166836,nm0000036
tt0012281	nm0422226,nm0501902
tt0012304	nm0000122
tt0012349	nm0000122
tt0012364	nm0803705
tt0012486	nm0042317,nm0373511
tt0012494	nm0000485
tt0012499	nm0628345
tt0012512	nm0628345,nm0730018
tt0012532	nm0000428
tt0012543	nm0166836,nm0000036
tt0012570	nm0166836,nm0000036
tt0012645	nm0118266
tt0012651	nm0003638
tt0012675	nm0577654
tt0012752	nm0629243
tt0012763	nm0454771
tt0012938	nm0939992
tt0012945	nm0000036,nm0820461
tt0013025	nm0166836,nm0000036
tt0013055	nm0166836,nm0000036
tt0013059	nm0003433
tt0013075	nm0628345,nm0853130
tt0013086	nm0000485
tt0013099	nm0166836,nm0000036
tt0013134	nm0191899
tt0013140	nm0002233
tt0013158	nm0166836,nm0000036
tt0013201	nm0628345
tt0013257	nm0159725
tt0013367	nm0454535
tt0013372	nm0001124
tt0013386	nm0432216,nm0002233
tt0013422	nm0166836,nm0000036
tt0013427	nm0280904
tt0013442	nm0003638
tt0013496	nm0003638
tt0013556	nm0245385
tt0013579	nm0733208
tt0013626	nm0241273
tt0013662	nm0731910
tt0013688	nm0291387
tt0013741	nm0523932
tt0013858	nm0166836,nm0000036
tt0013992	nm0001178
tt0014109	nm0830249
tt0014142	nm0941637
tt0014218	nm0000036,nm0166836
tt0014341	nm0090007,nm0000036
tt0014358	nm0000122
tt0014417	nm0304098
tt0014429	nm0628345,nm0853130
tt0014497	nm0400912
tt0014532	nm0001124
tt0014538	nm0166836,nm0000036
tt0014586	nm0083532,nm0501902
tt0014605	nm0454771
tt0014611	nm0628345,nm0853130
tt0014624	nm0000122
tt0014646	nm0698839
tt0014702	nm0064600
tt0014760	nm0166836
tt0014770	nm0600580
tt0014872	nm0163229
tt0014900	nm0003638
tt0014945	nm0628345,nm0853130
tt0014972	nm0803705
tt0015016	nm0000406
tt0015036	nm0901502
tt0015039	nm0895048
tt0015064	nm0003638
tt0015119	nm0523932
tt0015136	nm0003433
tt0015152	nm0882795
tt0015163	nm0187981,nm0000036
tt0015167	nm0474487
tt0015174	nm0000485
tt0015175	nm0000485
tt0015202	nm0927468
tt0015213	nm0770703
tt0015310	nm0515979
tt0015324	nm0000036
tt0015361	nm0001178
tt0015400	nm0909825
tt0015493	nm0194031
tt0015498	nm0896542
tt0015532	nm0718201,nm0002569
tt0015589	nm0694260
tt0015624	nm0896542,nm0384276
tt0015648	nm0001178
tt0015684	nm0097648
tt0015687	nm0809467
tt0015693	nm0376221
tt0015758	nm0187981
tt0015768	nm0003433
tt0015801	nm0478303
tt0015841	nm0628345,nm0853130
tt0015842	nm0655065
tt0015863	nm0000036
tt0015864	nm0000122
tt0015873	nm0178260,nm0774325
tt0015881	nm0002233
tt0016004	nm0523932
tt0016013	nm0097648
tt0016022	nm0000406
tt0016029	nm0124877
tt0016039	nm0398464
tt0016104	nm0002233
tt0016123	nm0922327
tt0016201	nm0309163
tt0016220	nm0432216,nm0151606,nm0290926,nm0781292
tt0016226	nm0749484
tt0016230	nm0000033
tt0016258	nm0166836
tt0016332	nm0000036
tt0016473	nm0115218
tt0016480	nm0782707
tt0016481	nm0243295
tt0016544	nm0783865
tt0016629	nm0922327
tt0016630	nm0000036
tt0016640	nm0949648
tt0016641	nm0629243,nm0102643,nm0127511,nm0169905,nm0002271
tt0016654	nm0662032
tt0016655	nm0115218
tt0016669	nm0896542
tt0016672	nm0920074
tt0016690	nm0176699
tt0016691	nm0106950
tt0016804	nm0189076
tt0016829	nm0624714
tt0016832	nm0853130
tt0016847	nm0003638
tt0016884	nm0113284
tt0016895	nm0853130
tt0016914	nm0655065
tt0016938	nm0107543
tt0016939	nm0782597
tt0017029	nm0113284
tt0017048	nm0455938
tt0017075	nm0000033
tt0017119	nm0281808
tt0017120	nm0002271
tt0017128	nm0699877
tt0017136	nm0000485
tt0017271	nm0474487
tt0017350	nm0803705
tt0017374	nm0000406
tt0017376	nm0895048
tt0017416	nm0280463
tt0017423	nm0064415,nm0573743
tt0017437	nm0001008
tt0017448	nm0003638
tt0017449	nm0629243,nm0830249
tt0017463	nm0000406
tt0017534	nm0781292
tt0017540	nm0909825
tt0017567	nm0454771
tt0017668	nm0752193
tt0017739	nm0501902
tt0017743	nm0178260,nm0774325
tt0017750	nm0882160
tt0017765	nm0395023,nm0000036
tt0017825	nm0000033
tt0017843	nm0000033
tt0017918	nm0428059
tt0017925	nm0115669,nm0000036
tt0017961	nm0575963
tt0018033	nm0046082,nm0903049
tt0018037	nm0189076
tt0018051	nm0928514,nm0516001,nm0587277,nm0397834
tt0018054	nm0001124
tt0018066	nm0699877,nm0231151
tt0018097	nm0115218
tt0018179	nm0631438
tt0018183	nm0853130
tt0018192	nm0304098
tt0018217	nm0017893,nm0001178
tt0018218	nm0189076
tt0018253	nm0763453
tt0018328	nm0000033
tt0018379	nm0097648
tt0018440	nm0781292
tt0018451	nm0523932,nm0821472
tt0018455	nm0003638
tt0018471	nm0384276
tt0018515	nm0587277
tt0018523	nm0163229
tt0018526	nm0903049,nm0744504
tt0018528	nm0115218
tt0018530	nm0000406
tt0018578	nm0920074,nm0195496
tt0018618	nm0631438
tt0018737	nm0655065
tt0018742	nm0781292,nm0000036
tt0018756	nm0000033
tt0018770	nm0258477
tt0018773	nm0000122
tt0018806	nm0896542
tt0018836	nm0803705
tt0018839	nm0903049
tt0018876	nm0000033
tt0018908	nm0178260,nm0578985,nm0774325
tt0018909	nm0000406
tt0018935	nm0226189
tt0018972	nm0000406
tt0019067	nm0502752
tt0019071	nm0903049
tt0019074	nm0107543
tt0019109	nm0270838
tt0019130	nm0501902
tt0019195	nm0629243
tt0019225	nm0895048
tt0019237	nm0064600
tt0019254	nm0003433
tt0019258	nm0896542
tt0019286	nm0699877
tt0019304	nm0587277
tt0019344	nm0909825
tt0019379	nm0896542
tt0019400	nm0176699
tt0019412	nm0928514
tt0019415	nm0000485
tt0019421	nm0718469,nm0000036
tt0019422	nm0412650,nm0000370
tt0019429	nm0097648
tt0019434	nm0001008,nm0929649
tt0019504	nm0663613
tt0019532	nm0624756
tt0019557	nm0515979
tt0019558	nm0002233
tt0019563	nm0115218
tt0019574	nm0886754,nm0280904
tt0019585	nm0803705
tt0019591	nm0113284
tt0019630	nm0922327
tt0019644	nm0541149
tt0019649	nm0235590
tt0019655	nm0562004
tt0019699	nm0000406
tt0019702	nm0000033
tt0019715	nm0569697
tt0019725	nm0270838
tt0019729	nm0064600
tt0019760	nm0895048
tt0019777	nm0282984,nm0763798
tt0019788	nm0853130
tt0019823	nm0337586
tt0019843	nm0001124
tt0019886	nm0384276
tt0019901	nm0000485
tt0019935	nm0001124
tt0019946	nm0190516
tt0019959	nm0896542
tt0019968	nm0000370,nm0454790
tt0019993	nm0718469,nm0127511,nm0396876
tt0020018	nm0191899,nm0909825
tt0020030	nm0245385
tt0020062	nm0275494
tt0020075	nm0774256
tt0020092	nm0510839
tt0020094	nm0564970
tt0020112	nm0523932
tt0020114	nm0943758
tt0020122	nm0097648
tt0020142	nm0000033
tt0020163	nm0802563,nm0880618,nm0322843,nm0802561,nm0003593
tt0020198	nm0399203,nm0159725,nm0869665
tt0020210	nm0113284
tt0020223	nm0002031,nm0953123
tt0020230	nm0468882,nm0871185
tt0020247	nm0176699
tt0020269	nm0243295
tt0020298	nm0002233,nm0092915
tt0020439	nm0064600
tt0020442	nm0781292,nm0000036
tt0020446	nm0466099
tt0020475	nm0655065
tt0020514	nm0332539
tt0020530	nm0000320
tt0020570	nm0266691,nm0655065
tt0020581	nm0115218
tt0020585	nm0782682
tt0020620	nm0000428
tt0020629	nm0587277
tt0020640	nm0373511
tt0020641	nm0113284
tt0020668	nm0922327
tt0020686	nm0384276,nm0934980
tt0020691	nm0909825,nm0517264
tt0020695	nm0123556,nm0342417
tt0020697	nm0903049
tt0020702	nm0000406
tt0020713	nm0002031
tt0020768	nm0003638
tt0020793	nm0002190
tt0020815	nm0001328
tt0020821	nm0280463
tt0020827	nm0502752
tt0020836	nm0562845
tt0020838	nm0781292
tt0020852	nm0116103,nm0153266,nm0000033,nm0401323,nm0615208
tt0020876	nm0115669,nm0516001
tt0020919	nm0939992
