tconst	nconst	ordering	category
tt0000005	nm0443482	1	actor
tt0000005	nm0653042	2	actor
tt0000008	nm0653028	1	actor
tt0000012	nm2880396	1	self
tt0000012	nm9735580	2	self
tt0000012	nm0525900	3	self
tt0000012	nm9735581	4	self
tt0000012	nm9735579	5	self
tt0000014	nm0166380	1	actor
tt0000014	nm0244989	2	actor
tt0000192	nm0518132	1	self
tt0000417	nm0617588	1	actor
tt0000417	nm0617588	2	actor
tt0000417	nm0029244	3	actor
tt0000417	nm0076933	4	actress
tt0000417	nm1215996	5	actor
tt0000439	nm0001908	1	actor
tt0000439	nm0001908	2	actor
tt0000439	nm0001908	3	actor
tt0000439	nm0007625	4	actor
tt0000439	nm0055607	5	actor
tt0000942	nm0587097	1	actor
tt0000942	nm0502701	2	actress
tt0000942	nm0681933	3	actress
tt0000942	nm0250676	4	actress
tt0000942	nm0214651	5	actress
tt0001062	nm0038106	1	actress
tt0001062	nm0173994	2	actor
tt0001062	nm0277411	3	actress
tt0001062	nm0311375	4	actor
tt0001062	nm0366008	5	actor
tt0001105	nm0003425	1	actress
tt0001105	nm0227602	2	actor
tt0001105	nm0227602	3	actor
tt0001105	nm0720632	4	actor
tt0001105	nm0720632	5	actor
tt0001223	nm0298301	1	actress
tt0001223	nm0644728	2	actor
tt0001223	nm0680232	3	actor
tt0002054	nm0681933	1	actress
tt0002054	nm0041858	2	actor
tt0002054	nm0656425	3	actor
tt0002054	nm0550615	4	actress
tt0002054	nm0921980	5	actor
tt0002381	nm0095695	1	actor
tt0002381	nm0001273	2	actress
tt0002381	nm0102858	3	actress
tt0002381	nm0589494	4	actor
tt0002381	nm0656425	5	actor
tt0002461	nm0312600	1	actor
tt0002461	nm0911963	2	actor
tt0002461	nm0306817	3	actor
tt0002461	nm0443857	4	actor
tt0002461	nm0608971	5	actor
tt0002544	nm0803705	1	actor
tt0002544	nm0252472	2	actor
tt0002544	nm0092083	3	actor
tt0002544	nm0064949	4	actress
tt0002544	nm0018814	5	actress
tt0002844	nm0622772	1	actor
tt0002844	nm0622772	2	actor
tt0002844	nm0107631	3	actor
tt0002844	nm0577476	4	actor
tt0002844	nm0137288	5	actress
tt0003014	nm0096737	1	actress
tt0003014	nm0344981	2	actor
tt0003014	nm0511806	3	actor
tt0003014	nm0511806	4	actor
tt0003014	nm0489296	5	actor
tt0003419	nm0917467	1	actor
tt0003419	nm0074186	2	actress
tt0003419	nm0758802	3	actress
tt0003419	nm0332024	4	actor
tt0003419	nm0477996	5	actor
tt0003489	nm0624446	1	actress
tt0003489	nm1204409	2	actress
tt0003489	nm0824971	3	actor
tt0003489	nm0342541	4	actor
tt0003489	nm1148789	5	actor
tt0003643	nm0910400	1	actor
tt0003643	nm0014894	2	actor
tt0003643	nm0842239	3	actress
tt0003643	nm0797094	4	actor
tt0003643	nm0507635	5	actor
tt0003740	nm0021935	1	actress
tt0003740	nm0702894	2	actress
tt0003740	nm0656034	3	actor
tt0003740	nm0146028	4	actress
tt0003740	nm0146028	5	actress
tt0003772	nm0681933	1	actress
tt0003772	nm0601698	2	actor
tt0003772	nm0894679	3	actress
tt0003772	nm0933448	4	actress
tt0003772	nm0138822	5	actress
tt0004008	nm0565560	1	actor
tt0004008	nm0573137	2	actor
tt0004008	nm0564946	3	actor
tt0004008	nm0233592	4	actor
tt0004008	nm0694631	5	actor
tt0004066	nm0159725	1	actor
tt0004066	nm0143865	2	actress
tt0004066	nm0718290	3	actor
tt0004066	nm0483943	4	actor
tt0004066	nm0526126	5	actress
tt0004101	nm0000122	1	actor
tt0004101	nm0153713	2	actor
tt0004101	nm4004332	3	actress
tt0004101	nm1065030	4	actor
tt0004101	nm0036380	5	actress
tt0004134	nm0285202	1	actor
tt0004134	nm0824332	2	actress
tt0004134	nm0822059	3	actor
tt0004134	nm0268422	4	actress
tt0004134	nm0077320	5	actor
tt0004181	nm0842239	1	actress
tt0004181	nm0910400	2	actor
tt0004181	nm0550615	3	actress
tt0004181	nm0366008	4	actor
tt0004181	nm0115524	5	actress
tt0004277	nm0000122	1	actor
tt0004277	nm0635667	2	actress
tt0004277	nm0566745	3	actor
tt0004277	nm0174682	4	actor
tt0004277	nm0784407	5	actor
tt0004282	nm0000122	1	actor
tt0004282	nm0635667	2	actress
tt0004282	nm0841501	3	actor
tt0004282	nm1280594	4	actress
tt0004282	nm0003424	5	actor
tt0004465	nm0925310	1	actress
